Pos,GoalsCreated,GPerGame,APerGame,PtsPerGame,GoalsCreatedPerGame,SOGPerGameAdjusted,GAdjusted,AAdjusted,PtsAdjusted,GCAdjusted,TotGF,TotPPGF,TotGA,TotPPGA,PlusMin,XGF,XGA,XPlusMin,OPS,DPS,TotPS,ShootoutMiss,UID,season
RW,16,0.2,0.33,0.52,0.19,1.57,16,27,43,16,74,22,60,9,2,43.3,40.8,2.5,2.2,1.5,3.6,3.0,littlbr01,17-18
RW,14,0.19,0.36,0.55,0.2,1.78,13,25,38,14,53,5,48,11,11,41.4,36.4,5.1,2.1,1.6,3.7,,rustbr01,17-18
C,4,0.06,0.17,0.23,0.08,1.02,3,8,11,4,15,0,25,10,0,16.1,16.9,-0.8,-0.1,0.7,0.6,,froesby01,17-18
RW,7,0.11,0.13,0.24,0.09,1.33,8,10,18,7,33,0,62,22,-7,26.5,37.7,-11.1,-0.1,0.6,0.5,,cluttca01,17-18
C,0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0.2,0.2,-0.1,0.0,0.0,0.0,,oreilca01,17-18
C,14,0.24,0.28,0.51,0.21,1.54,16,19,35,14,47,4,38,15,20,29.0,34.3,-5.3,2.3,1.8,4.1,,jarnkca01,17-18
D,0,0.0,0.25,0.25,0.07,1.25,0,1,1,0,1,0,4,0,-3,1.7,2.2,-0.5,0.0,-0.1,-0.1,,rosenca01,17-18
D,3,0.03,0.33,0.36,0.11,1.33,1,11,12,4,35,0,38,15,11,23.7,24.1,-0.3,0.6,1.9,2.4,,dehaaca01,17-18
RW,19,0.37,0.34,0.71,0.29,3.55,25,22,47,20,80,21,54,15,19,47.4,43.2,4.2,3.9,2.1,5.9,3.0,atkinca01,17-18
D,11,0.12,0.36,0.48,0.16,1.82,8,24,32,11,74,17,72,17,3,52.1,52.7,-0.6,2.0,3.8,5.8,2.0,fowleca01,17-18
D,1,0.0,0.27,0.27,0.07,1.09,0,3,3,1,9,0,12,1,-2,6.9,7.4,-0.5,0.1,0.3,0.4,,dahlsca01,17-18
D,4,0.08,0.06,0.14,0.06,0.94,5,4,9,4,38,0,33,10,15,31.7,29.6,2.1,0.2,3.5,3.7,,gunnaca01,17-18
LW,11,0.12,0.26,0.38,0.14,2.09,10,21,31,11,49,0,63,22,8,50.8,39.2,11.5,0.6,1.7,2.2,,hagelca01,17-18
C,14,0.21,0.27,0.48,0.19,1.95,16,21,37,14,56,12,61,17,0,30.4,37.3,-6.9,1.8,1.6,3.4,,soderca01,17-18
D,0,0.0,0.0,0.0,0.0,1.33,0,0,0,0,0,0,2,0,-2,1.4,0.8,0.6,-0.1,-0.1,-0.1,,soucyca01,17-18
RW,2,0.05,0.07,0.11,0.04,0.48,2,3,5,2,7,0,31,11,-13,10.4,12.2,-1.8,-0.4,-0.1,-0.5,,rowneca01,17-18
C,6,0.11,0.16,0.27,0.1,1.16,7,10,17,7,29,0,59,18,-12,24.0,31.6,-7.5,0.1,0.3,0.4,,cizikca01,17-18
C,2,0.17,0.67,0.83,0.27,1.5,1,4,5,2,8,3,4,0,1,2.8,2.2,0.7,0.4,0.2,0.6,,mitteca01,17-18
D,3,0.08,0.14,0.22,0.08,1.3,3,5,8,3,22,1,41,6,-14,20.7,25.8,-5.1,0.3,0.8,1.1,,nelsoca01,17-18
C,4,0.09,0.07,0.16,0.07,1.14,5,4,9,4,17,1,29,8,-5,18.3,21.1,-2.8,-0.2,0.2,0.1,,paquece01,17-18
D,2,0.05,0.07,0.11,0.04,1.52,2,3,5,2,19,0,32,6,-8,29.2,26.6,2.6,-0.1,0.8,0.7,,ruhwech01,17-18
C,6,0.09,0.18,0.27,0.1,0.54,6,12,18,7,32,0,26,7,13,21.3,26.7,-5.4,0.2,1.4,1.6,,stephch02,17-18
LW,11,0.14,0.28,0.42,0.15,2.49,10,20,30,11,46,12,46,0,-12,34.9,32.2,2.7,1.4,0.8,2.2,2.0,hudonch01,17-18
